avg_travel_time,GEOID
40.47,06037139506
34.96,06037139600
37.72,06037139701
30.23,06037139703
30.52,06037139704
25.41,06037139705
37.21,06037139801
40.14,06037139802
36.49,06037141101
36.82,06037141102
33.6,06037141201
28.95,06037141202
36.83,06037141303
35.86,06037141304
34.51,06037141305
33.37,06037141306
32.96,06037141400
30.99,06037141500
33.65,06037141600
35.93,06037141700
24.74,06037143101
31.04,06037143102
34.6,06037143200
33.17,06037143301
35.45,06037143302
33.41,06037143401
29.65,06037143402
34.84,06037143500
35.84,06037143602
35.45,06037143603
35.51,06037143605
29.81,06037143606
33.3,06037143700
31.76,06037143801
28.94,06037143802
30.55,06037143901
32.02,06037143902
29.52,06037181000
33.03,06037181300
33.24,06037181400
36.22,06037181500
26.15,06037181600
37.25,06037183101
36.09,06037183103
29.81,06037183104
42.31,06037183220
32.94,06037183221
34.74,06037183222
40.08,06037183300
35.06,06037183401
32.91,06037183402
36.68,06037183510
42.58,06037183520
37.74,06037183610
32.96,06037183620
28.71,06037183701
36.83,06037183702
35.03,06037183810
33.5,06037183820
36.16,06037185101
34.86,06037185102
29.36,06037185202
31.1,06037185203
36.7,06037185204
39.49,06037185310
32.24,06037185320
33.38,06037186100
34.51,06037186201
35.34,06037186202
40.62,06037186203
35.51,06037186301
26.83,06037186302
42.21,06037186401
30.2,06037186403
33.12,06037186404
31.11,06037187101
30.41,06037187102
35.2,06037187200
30.7,06037187300
31.24,06037188100
35.09,06037188201
31.22,06037188202
33.12,06037188300
37.13,06037189101
32.2,06037189102
48.45,06037189201
31.04,06037189202
28.5,06037189300
33.44,06037189400
37.66,06037189501
38.15,06037189502
25.1,06037189600
39.76,06037189702
34.43,06037189703
31.65,06037189704
30.13,06037189801
27.3,06037189802
33.94,06037189903
33.83,06037189904
34.04,06037189905
31.83,06037189906
25.46,06037189907
31.39,06037190101
29.61,06037190102
32.78,06037190201
31.52,06037190202
25.57,06037190302
32.17,06037190303
39.4,06037190401
37.31,06037190402
30.98,06037190510
33.1,06037190520
31.72,06037190701
27.42,06037190702
37.71,06037190801
38.52,06037190802
38.85,06037190901
35.13,06037190902
33.44,06037191000
30.65,06037191110
49.91,06037191120
19.55,06037191201
50.03,06037191203
43.01,06037191204
33.3,06037191301
39.37,06037191302
44.94,06037191410
32.66,06037191420
33.5,06037191500
34.53,06037191610
44.9,06037191620
33.75,06037191710
38.62,06037191720
37.16,06037191810
39.49,06037191820
31.09,06037191901
32.47,06037191902
37.82,06037192001
34.36,06037192002
31.54,06037192300
28.99,06037192410
31.46,06037192420
33.14,06037192510
34.36,06037192520
37.91,06037192610
36.57,06037192620
36.22,06037192700
33.12,06037194101
36.29,06037194102
37.45,06037194200
36.29,06037194300
32.28,06037194401
31.51,06037194402
31.02,06037194500
36.1,06037195100
30.63,06037195201
30.11,06037195202
33.73,06037195300
26.76,06037195400
36.83,06037195500
37.5,06037195600
37.85,06037195710
30.5,06037195720
38.79,06037195802
36.45,06037195803
30.19,06037195804
35.24,06037195901
31.55,06037195902
35.02,06037195903
36.0,06037197200
34.46,06037197300
29.9,06037197410
33.07,06037197420
30.25,06037197500
27.83,06037197600
30.19,06037197700
35.74,06037199001
30.2,06037199002
