college_attainment_rate,GEOID
0.37,06037481902
0.58,06037482001
0.45,06037482002
0.39,06037482101
0.41,06037482102
0.27,06037482201
0.33,06037482202
0.18,06037482301
0.22,06037482303
0.13,06037482304
0.11,06037482401
0.12,06037482403
0.38,06037482404
0.13,06037482502
0.2,06037482503
0.29,06037482521
0.32,06037482522
0.45,06037482600
0.29,06037482701
0.41,06037482702
0.29,06037482801
0.53,06037500100
0.49,06037500202
0.34,06037500203
0.51,06037500204
0.45,06037500300
0.15,06037500402
0.25,06037500403
0.19,06037500404
0.17,06037500500
0.1,06037500600
0.16,06037500700
0.19,06037500800
0.12,06037500900
0.12,06037501001
0.27,06037501002
0.22,06037501200
0.21,06037501301
0.28,06037501302
0.24,06037501400
0.52,06037501501
0.27,06037501503
0.18,06037501504
0.41,06037501600
0.45,06037501700
0.35,06037501802
0.11,06037501803
0.17,06037501804
0.27,06037501900
0.17,06037502003
0.15,06037502004
0.13,06037502005
0.23,06037502100
0.18,06037502200
0.1,06037502303
0.12,06037502401
0.15,06037502402
0.14,06037502500
0.18,06037502602
0.17,06037502603
0.16,06037502604
0.15,06037502700
0.27,06037502801
0.21,06037502901
0.16,06037503000
0.16,06037503103
0.16,06037503104
0.16,06037503105
0.25,06037503106
0.23,06037503201
0.13,06037503202
0.25,06037503301
0.18,06037503302
0.31,06037503401
0.38,06037503402
0.16,06037503501
0.24,06037503502
0.33,06037503601
0.55,06037503602
0.33,06037503701
0.36,06037503702
0.51,06037503704
0.38,06037503705
0.32,06037503801
0.41,06037503802
0.49,06037503901
0.33,06037503902
0.51,06037504001
0.33,06037504002
0.26,06037504101
0.26,06037504200
0.5,06037530005
0.29,06037530006
0.32,06037530007
0.12,06037530101
0.17,06037530102
0.23,06037530202
0.11,06037530203
0.15,06037530204
0.08,06037530301
0.13,06037530302
0.15,06037530400
0.07,06037530500
0.18,06037530603
0.18,06037530700
0.18,06037530801
0.17,06037530802
0.12,06037530901
0.16,06037530902
0.06,06037531000
0.06,06037531101
0.1,06037531102
0.06,06037531201
0.09,06037531202
0.1,06037531301
0.06,06037531302
0.1,06037531502
0.06,06037531503
0.13,06037531504
0.06,06037531602
0.1,06037531603
0.06,06037531604
0.11,06037531701
0.1,06037531702
0.17,06037531800
0.07,06037531901
0.08,06037531902
0.14,06037532001
0.15,06037532002
0.13,06037532101
0.27,06037532102
0.16,06037532200
0.14,06037532302
0.07,06037532303
0.15,06037532304
0.12,06037532500
0.04,06037532605
0.07,06037532606
0.15,06037532607
0.06,06037532700
0.06,06037532800
0.06,06037532900
0.06,06037533001
0.08,06037533002
0.04,06037533103
0.06,06037533104
0.13,06037533105
0.07,06037533108
0.07,06037533201
0.1,06037533204
0.1,06037533300
0.14,06037533401
0.04,06037533402
0.09,06037533403
0.07,06037533501
0.02,06037533504
0.07,06037533601
0.1,06037533602
0.05,06037533603
0.06,06037533701
0.04,06037533702
0.09,06037533703
0.1,06037533803
0.07,06037533804
0.13,06037533805
0.08,06037533806
0.05,06037533901
0.11,06037533902
0.11,06037534001
0.06,06037534002
0.1,06037534101
0.03,06037534102
0.06,06037534201
0.08,06037534202
0.03,06037534203
0.05,06037534301
0.09,06037534302
0.07,06037534403
0.05,06037534404
0.09,06037534405
0.01,06037534406
0.06,06037534501
0.22,06037534502
0.15,06037534700
0.06,06037534802
0.09,06037534803
0.08,06037534804
0.04,06037534900
0.08,06037535001
0.09,06037535002
0.09,06037535101
0.14,06037535102
0.06,06037535200
0.09,06037535300
0.08,06037535400
0.06,06037535501
0.1,06037535502
0.1,06037535503
0.1,06037535603
0.1,06037535604
0.1,06037535605
0.12,06037535606
0.18,06037535607
0.13,06037535701
0.09,06037535702
0.12,06037535802
0.05,06037535803
0.09,06037535804
0.11,06037535901
0.11,06037535902
0.11,06037536000
0.16,06037536102
0.1,06037536103
0.21,06037536104
0.17,06037536201
0.1,06037536202
0.09,06037540000
0.12,06037540101
0.24,06037540102
0.02,06037540201
0.08,06037540202
0.09,06037540203
0.08,06037540300
0.08,06037540400
0.07,06037540501
0.07,06037540502
0.07,06037540600
0.33,06037540700
0.18,06037540800
0.17,06037540901
0.14,06037540902
0.2,06037541003
0.11,06037541100
0.18,06037541200
0.15,06037541300
0.09,06037541401
0.17,06037541402
0.07,06037541500
0.01,06037541603
0.05,06037541604
0.09,06037541605
0.05,06037541606
0.1,06037541700
0.1,06037541801
0.13,06037541802
0.14,06037542000
0.09,06037542103
0.07,06037542104
0.04,06037542105
0.03,06037542106
0.07,06037542200
0.06,06037542401
0.15,06037542402
0.18,06037542501
0.14,06037542502
0.08,06037542601
0.05,06037542602
0.13,06037542700
0.17,06037542800
0.08,06037542900
0.19,06037543000
0.12,06037543100
0.12,06037543201
0.14,06037543203
0.37,06037543304
0.24,06037543305
0.36,06037543306
0.47,06037543321
0.33,06037543322
0.22,06037543400
0.31,06037543501
0.3,06037543502
0.39,06037543503
0.27,06037543601
0.37,06037543603
0.42,06037543605
0.34,06037543606
0.35,06037543607
0.23,06037543701
0.22,06037543703
0.24,06037543704
0.35,06037543705
0.27,06037543801
0.28,06037543803
0.24,06037543804
0.24,06037543903
0.12,06037543905
0.24,06037544001
0.17,06037544002
0.19,06037550101
0.18,06037550201
0.24,06037550202
0.28,06037550301
0.28,06037550501
0.43,06037550502
0.31,06037550601
0.22,06037550602
0.26,06037550700
0.35,06037550801
0.21,06037550802
0.18,06037550901
0.32,06037550902
0.28,06037551001
0.22,06037551002
0.28,06037551101
0.18,06037551102
0.27,06037551201
0.34,06037551203
0.21,06037551204
0.17,06037551300
0.31,06037551401
0.18,06037551402
0.27,06037551501
0.31,06037551502
0.17,06037551700
0.2,06037551801
0.25,06037551802
0.3,06037551900
0.18,06037552001
0.23,06037552002
0.17,06037552100
0.19,06037552200
0.22,06037552301
0.22,06037552302
0.15,06037552400
0.12,06037552601
0.29,06037552602
0.22,06037552700
0.2,06037552800
0.26,06037552900
0.21,06037553000
0.22,06037553100
0.21,06037553201
0.17,06037553202
0.26,06037553300
0.17,06037553400
0.2,06037553502
0.08,06037553503
0.15,06037553504
0.11,06037553601
0.12,06037553602
0.11,06037553701
0.06,06037553702
0.08,06037553801
0.12,06037553802
0.18,06037553901
0.17,06037553902
0.16,06037554001
0.19,06037554002
0.12,06037554101
0.2,06037554105
0.25,06037554106
0.24,06037554201
0.19,06037554203
0.22,06037554204
0.14,06037554301
0.17,06037554302
0.21,06037554403
0.19,06037554404
0.15,06037554405
0.27,06037554406
0.53,06037554511
0.68,06037554512
0.71,06037554513
0.47,06037554514
0.41,06037554515
0.66,06037554516
0.62,06037554517
0.56,06037554518
0.55,06037554519
0.51,06037554521
0.58,06037554522
0.28,06037554600
0.19,06037554700
0.2,06037554801
0.39,06037554802
0.3,06037554900
0.22,06037555001
0.28,06037555002
0.32,06037555105
0.26,06037555106
0.3,06037555107
0.58,06037555202
0.19,06037555211
0.1,06037555212
0.14,06037555300
0.26,06037570001
0.34,06037570002
0.31,06037570003
0.31,06037570100
0.21,06037570202
0.18,06037570203
0.19,06037570204
0.12,06037570303
0.1,06037570304
0.15,06037570305
0.17,06037570306
0.25,06037570402
0.12,06037570403
0.17,06037570404
0.18,06037570502
0.17,06037570503
0.19,06037570504
0.16,06037570601
0.22,06037570602
0.1,06037570603
0.35,06037570701
0.37,06037570703
0.45,06037570800
0.32,06037570901
0.32,06037570902
0.4,06037571000
0.3,06037571101
0.3,06037571102
0.44,06037571201
0.3,06037571202
0.41,06037571300
0.32,06037571400
0.32,06037571502
0.45,06037571504
0.35,06037571505
0.11,06037571600
0.19,06037571701
0.13,06037571703
0.16,06037571704
0.55,06037571800
0.57,06037571900
0.5,06037572001
0.26,06037572201
0.34,06037572202
0.19,06037572301
0.15,06037572500
0.3,06037572600
0.22,06037572700
0.16,06037573002
0.31,06037573003
0.13,06037573004
0.29,06037573101
0.36,06037573102
0.13,06037573201
0.16,06037573202
0.12,06037573300
0.32,06037573401
0.26,06037573402
0.65,06037573403
0.43,06037573601
0.46,06037573700
0.42,06037573800
0.67,06037573902
0.55,06037574000
0.45,06037574100
0.5,06037574201
0.32,06037574202
0.53,06037574300
0.51,06037574400
0.54,06037574500
0.68,06037574602
0.71,06037574800
0.62,06037574901
0.43,06037574902
0.51,06037575001
0.47,06037575002
0.22,06037575101
0.11,06037575102
0.26,06037575103
0.14,06037575201
0.15,06037575202
0.12,06037575300
0.09,06037575401
0.17,06037575402
0.16,06037575801
0.2,06037575802
0.25,06037575803
0.34,06037575901
0.46,06037575902
0.56,06037576001
0.41,06037576200
0.26,06037576301
0.18,06037576302
0.09,06037576401
0.15,06037576402
0.11,06037576403
0.27,06037576501
0.37,06037576502
0.36,06037576503
0.48,06037576601
0.49,06037576602
0.61,06037576700
0.61,06037576801
0.5,06037576802
0.16,06037576901
0.22,06037576903
0.33,06037576904
0.39,06037577000
0.49,06037577100
0.64,06037577200
0.52,06037577300
0.67,06037577400
0.62,06037577501
0.67,06037577504
0.6,06037577602
0.7,06037577604
0.67,06037577605
0.65,06037577606
0.2,06037577700
0.21,06037577800
0.42,06037577900
0.21,06037578000
0.51,06037578100
0.17,06037599000
0.35,06037599100
0.14,06037600100
0.08,06037600201
0.09,06037600202
0.22,06037600302
0.03,06037600303
0.07,06037600304
0.28,06037600400
0.33,06037600501
0.33,06037600601
0.15,06037600602
0.28,06037600702
0.49,06037600703
0.42,06037600704
0.42,06037600801
0.3,06037600802
0.19,06037600902
0.2,06037600911
0.24,06037600912
0.27,06037601001
0.19,06037601002
0.22,06037601100
0.19,06037601202
0.23,06037601211
0.18,06037601212
0.55,06037601301
0.42,06037601302
0.29,06037601303
0.16,06037601401
0.19,06037601402
0.09,06037601501
0.11,06037601502
0.13,06037601600
0.12,06037601700
0.09,06037601801
0.15,06037601802
0.09,06037601900
0.16,06037602002
0.09,06037602003
0.18,06037602103
0.18,06037602104
0.2,06037602105
0.2,06037602106
0.43,06037602201
0.28,06037602202
0.37,06037602301
0.75,06037602302
0.25,06037602402
0.19,06037602403
0.18,06037602404
0.26,06037602504
0.24,06037602505
0.24,06037602506
0.2,06037602507
0.2,06037602510
0.12,06037602511
0.19,06037602512
0.26,06037602513
0.21,06037602601
0.26,06037602602
0.3,06037602700
0.16,06037602801
0.27,06037602802
0.18,06037602900
0.24,06037603004
0.24,06037603005
0.39,06037603006
0.27,06037603007
0.22,06037603008
0.33,06037603101
0.27,06037603102
0.43,06037603200
0.34,06037603301
0.26,06037603302
0.31,06037603400
0.28,06037603500
0.32,06037603600
0.31,06037603702
0.31,06037603703
0.24,06037603705
0.22,06037603706
0.18,06037603801
0.3,06037603802
0.32,06037603901
0.15,06037603902
0.15,06037604001
0.35,06037604002
0.09,06037604101
0.21,06037604102
0.17,06037604200
0.32,06037609900
0.61,06037620001
0.66,06037620002
0.59,06037620101
0.66,06037620102
0.83,06037620201
0.8,06037620301
0.7,06037620303
0.84,06037620305
0.76,06037620400
0.71,06037620501
0.52,06037620521
0.68,06037620522
0.56,06037620601
0.52,06037620602
0.71,06037620701
0.76,06037620703
0.63,06037620704
0.79,06037620801
0.79,06037620802
0.82,06037620901
0.81,06037620904
0.78,06037621001
0.74,06037621005
0.7,06037621102
0.81,06037621104
0.72,06037621201
0.71,06037621204
0.63,06037621301
0.73,06037621324
0.74,06037621326
0.74,06037621400
0.48,06037650001
0.41,06037650003
0.35,06037650004
0.57,06037650101
0.46,06037650102
0.43,06037650200
0.4,06037650300
0.51,06037650401
0.49,06037650501
0.54,06037650502
0.59,06037650603
0.51,06037650604
0.53,06037650605
0.45,06037650606
0.63,06037650607
0.59,06037650701
0.59,06037650702
0.59,06037650801
0.68,06037650802
0.52,06037650901
0.43,06037650903
0.56,06037650904
0.37,06037651001
0.53,06037651002
0.58,06037651101
0.48,06037651102
0.72,06037651201
0.6,06037651221
0.56,06037651222
0.67,06037651302
0.6,06037651304
0.45,06037651401
0.64,06037651402
0.44,06037670001
0.45,06037670002
0.37,06037670003
0.35,06037670101
0.32,06037670102
0.72,06037670201
0.74,06037670202
0.8,06037670324
0.73,06037670326
0.8,06037670328
0.64,06037670405
0.72,06037670406
0.75,06037670407
0.79,06037670413
0.75,06037670416
0.71,06037670417
0.72,06037670418
0.76,06037670500
0.75,06037670603
0.74,06037670604
0.5,06037670701
0.67,06037670702
0.57,06037700101
0.54,06037700102
0.56,06037700200
0.68,06037700300
0.64,06037700400
0.74,06037700501
0.73,06037700502
0.62,06037700600
0.72,06037700700
0.68,06037700801
0.61,06037700802
0.75,06037700901
0.75,06037700902
0.72,06037701000
0.87,06037701201
0.72,06037701202
0.81,06037701302
0.73,06037701304
0.6,06037701402
0.72,06037701501
0.69,06037701502
0.8,06037701601
0.66,06037701602
0.63,06037701701
0.69,06037701702
0.52,06037701801
0.47,06037701802
0.78,06037701902
0.72,06037702002
0.71,06037702102
0.65,06037702201
0.73,06037702202
0.68,06037702300
0.6,06037702400
0.73,06037702501
0.74,06037702502
0.68,06037702600
0.63,06037702700
0.56,06037702801
0.53,06037702802
0.6,06037702803
0.77,06037702900
0.55,06037703002
0.67,06037703003
0.62,06037703100
0.58,06037703200
0.73,06037800101
0.52,06037800103
0.66,06037800104
0.71,06037800202
0.68,06037800204
0.67,06037800205
0.73,06037800206
0.63,06037800324
0.72,06037800325
0.62,06037800328
0.57,06037800333
0.6,06037800334
0.6,06037800335
0.69,06037800336
0.71,06037800337
0.72,06037800338
0.64,06037800406
0.79,06037800410
0.81,06037800411
0.64,06037800412
0.7,06037800504
0.75,06037800506
0.12,06037900102
0.13,06037900103
0.1,06037900104
0.18,06037900301
0.12,06037900501
0.23,06037900504
0.14,06037900505
0.15,06037900506
0.24,06037900508
0.12,06037900509
0.28,06037900510
0.11,06037900602
0.08,06037900606
0.08,06037900607
0.13,06037900608
0.07,06037900609
0.06,06037900610
0.16,06037900611
0.11,06037900701
0.25,06037900703
0.24,06037900704
0.32,06037900705
0.08,06037900804
0.15,06037900805
0.08,06037900806
0.18,06037900807
0.17,06037900808
0.11,06037900901
0.28,06037900902
0.02,06037901003
0.24,06037901007
0.27,06037901008
0.24,06037901009
0.2,06037901010
0.33,06037901011
0.32,06037901012
0.33,06037901013
0.37,06037901014
0.41,06037901101
0.24,06037901102
0.17,06037901209
0.24,06037901210
0.31,06037901214
0.22,06037901215
0.33,06037901216
0.33,06037901217
0.46,06037901218
0.15,06037901300
0.09,06037910002
0.41,06037910210
0.31,06037910211
0.22,06037910212
0.17,06037910213
0.38,06037910214
0.22,06037910215
0.25,06037910216
0.35,06037910217
0.25,06037910218
0.23,06037910301
0.23,06037910302
0.27,06037910401
0.12,06037910404
0.06,06037910405
0.07,06037910501
0.07,06037910502
0.12,06037910504
0.13,06037910505
0.05,06037910601
0.12,06037910602
0.09,06037910605
0.07,06037910606
0.09,06037910607
0.12,06037910608
0.12,06037910706
0.11,06037910707
0.17,06037910709
0.14,06037910712
0.12,06037910713
0.12,06037910714
0.1,06037910715
0.13,06037910716
0.16,06037910717
0.13,06037910718
0.1,06037910719
0.07,06037910720
0.07,06037910721
0.33,06037910804
0.38,06037910807
0.27,06037910808
0.47,06037910809
0.38,06037910810
0.25,06037910814
0.26,06037910815
0.19,06037911001
0.08,06037911100
0.47,06037920013
0.53,06037920015
0.53,06037920016
0.27,06037920017
0.35,06037920018
0.31,06037920020
0.4,06037920028
0.23,06037920029
0.38,06037920030
0.32,06037920031
0.41,06037920034
0.26,06037920035
0.14,06037920038
0.29,06037920039
0.28,06037920040
0.39,06037920041
0.38,06037920042
0.41,06037920043
0.33,06037920044
0.41,06037920045
0.2,06037920046
0.18,06037920047
0.15,06037920048
0.43,06037920049
0.23,06037920050
0.33,06037920102
0.38,06037920104
0.21,06037920106
0.44,06037920109
0.46,06037920110
0.39,06037920111
0.49,06037920112
0.62,06037920114
0.42,06037920115
0.46,06037920116
0.39,06037920118
0.49,06037920119
0.61,06037920120
0.64,06037920121
0.03,06037920200
0.65,06037920303
0.4,06037920312
0.39,06037920313
0.39,06037920314
0.41,06037920322
0.46,06037920326
0.7,06037920328
0.41,06037920329
0.51,06037920330
0.48,06037920331
0.37,06037920332
0.5,06037920334
0.56,06037920338
0.6,06037920339
0.25,06037920340
0.2,06037920341
0.13,06037920342
0.28,06037920343
0.31,06037930400
0.0,06037980001
0.0,06037980002
0.0,06037980003
0.0,06037980004
0.0,06037980005
0.0,06037980006
0.0,06037980007
0.12,06037980008
0.0,06037980009
0.14,06037980010
0.33,06037980011
0.0,06037980012
0.0,06037980013
0.1,06037980014
0.36,06037980015
0.13,06037980016
0.11,06037980017
0.0,06037980018
0.66,06037980019
0.0,06037980020
0.31,06037980021
0.0,06037980022
1.0,06037980023
0.54,06037980024
0.25,06037980025
0.0,06037980026
0.0,06037980028
0.0,06037980030
0.03,06037980031
0.0,06037980033
0.0,06037980034
0.12,06037980035
0.37,06037980036
0.0,06037980037
0.0,06037980038
0.0,06037980039
0.0,06037990100
0.0,06037990200
0.0,06037990300
