college_attainment_rate,GEOID
0.58,06037139506
0.68,06037139600
0.66,06037139701
0.76,06037139703
0.72,06037139704
0.76,06037139705
0.67,06037139801
0.72,06037139802
0.69,06037141101
0.64,06037141102
0.64,06037141201
0.69,06037141202
0.65,06037141303
0.66,06037141304
0.63,06037141305
0.78,06037141306
0.64,06037141400
0.73,06037141500
0.79,06037141600
0.75,06037141700
0.64,06037143101
0.61,06037143102
0.51,06037143200
0.61,06037143301
0.57,06037143302
0.58,06037143401
0.66,06037143402
0.63,06037143500
0.62,06037143602
0.69,06037143603
0.62,06037143605
0.67,06037143606
0.69,06037143700
0.71,06037143801
0.64,06037143802
0.73,06037143901
0.66,06037143902
0.57,06037181000
0.52,06037181300
0.55,06037181400
0.5,06037181500
0.44,06037181600
0.44,06037183101
0.42,06037183103
0.44,06037183104
0.43,06037183220
0.47,06037183221
0.56,06037183222
0.37,06037183300
0.32,06037183401
0.46,06037183402
0.32,06037183510
0.3,06037183520
0.35,06037183610
0.36,06037183620
0.27,06037183701
0.47,06037183702
0.34,06037183810
0.32,06037183820
0.38,06037185101
0.68,06037185102
0.46,06037185202
0.35,06037185203
0.52,06037185204
0.2,06037185310
0.19,06037185320
0.47,06037186100
0.43,06037186201
0.42,06037186202
0.51,06037186203
0.32,06037186301
0.47,06037186302
0.2,06037186401
0.34,06037186403
0.39,06037186404
0.46,06037187101
0.44,06037187102
0.39,06037187200
0.69,06037187300
0.52,06037188100
0.72,06037188201
0.72,06037188202
0.54,06037188300
0.64,06037189101
0.77,06037189102
0.68,06037189201
0.73,06037189202
0.72,06037189300
0.72,06037189400
0.67,06037189501
0.54,06037189502
0.68,06037189600
0.48,06037189702
0.69,06037189703
0.64,06037189704
0.66,06037189801
0.66,06037189802
0.58,06037189903
0.56,06037189904
0.61,06037189905
0.74,06037189906
0.69,06037189907
0.43,06037190101
0.61,06037190102
0.32,06037190201
0.64,06037190202
0.43,06037190302
0.39,06037190303
0.51,06037190401
0.53,06037190402
0.45,06037190510
0.34,06037190520
0.33,06037190701
0.67,06037190702
0.36,06037190801
0.49,06037190802
0.16,06037190901
0.31,06037190902
0.58,06037191000
0.28,06037191110
0.28,06037191120
0.31,06037191201
0.44,06037191203
0.37,06037191204
0.48,06037191301
0.39,06037191302
0.32,06037191410
0.38,06037191420
0.28,06037191500
0.36,06037191610
0.31,06037191620
0.24,06037191710
0.21,06037191720
0.4,06037191810
0.56,06037191820
0.6,06037191901
0.72,06037191902
0.57,06037192001
0.76,06037192002
0.63,06037192300
0.63,06037192410
0.4,06037192420
0.29,06037192510
0.36,06037192520
0.3,06037192610
0.25,06037192620
0.37,06037192700
0.68,06037194101
0.71,06037194102
0.77,06037194200
0.71,06037194300
0.73,06037194401
0.74,06037194402
0.66,06037194500
0.7,06037195100
0.69,06037195201
0.74,06037195202
0.65,06037195300
0.63,06037195400
0.64,06037195500
0.38,06037195600
0.38,06037195710
0.62,06037195720
0.36,06037195802
0.56,06037195803
0.45,06037195804
0.64,06037195901
0.77,06037195902
0.44,06037195903
0.28,06037197200
0.59,06037197300
0.61,06037197410
0.57,06037197420
0.49,06037197500
0.57,06037197600
0.48,06037197700
0.11,06037199001
0.41,06037199002
0.22,06037199110
0.24,06037199120
0.19,06037199201
0.29,06037199202
0.41,06037199300
0.21,06037199400
0.33,06037199700
0.14,06037199801
0.17,06037199802
0.11,06037199900
0.37,06037201110
0.24,06037201120
0.18,06037201200
0.3,06037201301
0.51,06037201302
0.28,06037201401
0.23,06037201402
0.22,06037201501
0.16,06037201503
0.24,06037201504
0.25,06037201601
0.2,06037201602
0.3,06037201700
0.07,06037203100
0.16,06037203200
0.28,06037203300
0.24,06037203500
0.15,06037203601
0.09,06037203602
0.16,06037203710
0.18,06037203720
0.1,06037203800
0.17,06037203900
0.11,06037204110
0.1,06037204120
0.12,06037204200
0.07,06037204300
0.08,06037204410
0.11,06037204420
0.12,06037204600
0.17,06037204700
0.15,06037204810
0.11,06037204820
0.12,06037204910
0.07,06037204920
0.05,06037205110
0.06,06037205120
0.37,06037206010
0.07,06037206020
0.13,06037206050
0.72,06037206051
0.83,06037206052
0.2,06037206053
0.16,06037206054
0.48,06037206201
0.42,06037206202
0.08,06037206301
0.02,06037206302
0.07,06037206303
0.46,06037207101
0.36,06037207102
0.31,06037207103
0.54,06037207303
0.19,06037207304
0.65,06037207305
0.55,06037207306
0.41,06037207307
0.54,06037207308
0.37,06037207400
0.79,06037207501
0.51,06037207502
0.73,06037207711
0.6,06037207712
0.67,06037207901
0.78,06037207902
0.6,06037208001
0.34,06037208002
0.1,06037208301
0.24,06037208302
0.16,06037208401
0.43,06037208402
0.37,06037208501
0.22,06037208502
0.33,06037208610
0.34,06037208620
0.47,06037208710
0.16,06037208720
0.27,06037208801
0.39,06037208802
0.11,06037208902
0.1,06037208903
0.09,06037208904
0.06,06037209103
0.14,06037209104
0.07,06037209105
0.39,06037209106
0.69,06037209201
0.21,06037209202
0.25,06037209300
0.14,06037209401
0.08,06037209402
0.16,06037209403
0.17,06037209510
0.16,06037209520
0.15,06037209810
0.14,06037209820
0.14,06037210010
0.68,06037211000
0.46,06037211121
0.43,06037211122
0.59,06037211123
0.53,06037211124
0.33,06037211201
0.3,06037211202
0.31,06037211310
0.29,06037211320
0.29,06037211410
0.34,06037211420
0.51,06037211500
0.45,06037211701
0.51,06037211703
0.52,06037211704
0.4,06037211802
0.44,06037211803
0.42,06037211804
0.33,06037211910
0.41,06037211921
0.39,06037211922
0.64,06037212101
0.38,06037212102
0.2,06037212202
0.35,06037212203
0.34,06037212204
0.32,06037212303
0.3,06037212304
0.14,06037212305
0.28,06037212306
0.32,06037212410
0.34,06037212420
0.39,06037212501
0.48,06037212502
0.5,06037212610
0.38,06037212620
0.47,06037212701
0.57,06037212702
0.42,06037212800
0.29,06037212900
0.48,06037213100
0.38,06037213201
0.29,06037213202
0.27,06037213310
0.29,06037213320
0.15,06037213401
0.24,06037213402
0.63,06037214000
0.69,06037214100
0.7,06037214400
0.63,06037214501
0.72,06037214503
0.76,06037214504
0.65,06037214505
0.73,06037214600
0.65,06037214700
0.73,06037214800
0.72,06037214902
0.69,06037214903
0.73,06037214904
0.81,06037215101
0.68,06037215102
0.63,06037216100
0.58,06037216201
0.7,06037216202
0.65,06037216301
0.61,06037216302
0.72,06037216401
0.67,06037216402
0.56,06037216700
0.64,06037216800
0.6,06037216901
0.63,06037216902
0.7,06037217001
0.59,06037217002
0.33,06037217101
0.51,06037217102
0.44,06037217200
0.29,06037218110
0.15,06037218120
0.22,06037218210
0.37,06037218220
0.37,06037218300
0.3,06037218400
0.25,06037218500
0.32,06037218600
0.37,06037218701
0.26,06037218702
0.32,06037218800
0.31,06037218900
0.22,06037219010
0.19,06037219020
0.24,06037219300
0.45,06037219500
0.29,06037219700
0.23,06037219800
0.25,06037219901
0.29,06037219902
0.34,06037220000
0.34,06037220100
0.13,06037221110
0.08,06037221120
0.25,06037221210
0.18,06037221220
0.22,06037221302
0.14,06037221303
0.21,06037221304
0.22,06037221401
0.28,06037221402
0.07,06037221500
0.22,06037221601
0.12,06037221602
0.25,06037221710
0.37,06037221810
0.55,06037221820
0.43,06037221900
0.3,06037222001
0.24,06037222002
0.17,06037222100
0.22,06037222200
0.18,06037222500
0.31,06037222600
0.69,06037222700
0.43,06037224010
0.16,06037224020
0.08,06037224200
0.27,06037224310
0.11,06037224320
0.37,06037224410
0.15,06037224420
0.08,06037224600
0.92,06037224701
0.53,06037224702
0.02,06037226001
0.45,06037226002
0.05,06037226410
0.09,06037226420
0.08,06037226701
0.13,06037226702
0.04,06037227010
0.05,06037227020
0.08,06037228100
0.04,06037228210
0.06,06037228220
0.06,06037228310
0.02,06037228320
0.07,06037228410
0.06,06037228420
0.02,06037228500
0.08,06037228600
0.06,06037228710
0.03,06037228720
0.08,06037228800
0.11,06037228900
0.05,06037229100
0.04,06037229200
0.09,06037229300
0.05,06037229410
0.08,06037229420
0.08,06037231100
0.06,06037231210
0.17,06037231220
0.08,06037231301
0.19,06037231302
0.15,06037231400
0.23,06037231500
0.19,06037231601
0.12,06037231602
0.08,06037231603
0.08,06037231710
0.11,06037231720
0.05,06037231800
0.06,06037231901
0.05,06037231902
0.06,06037232110
0.13,06037232120
0.12,06037232200
0.17,06037232300
0.12,06037232401
0.23,06037232402
0.14,06037232500
0.07,06037232601
0.08,06037232602
0.06,06037232701
0.09,06037232702
0.08,06037232800
0.37,06037234001
0.18,06037234002
0.42,06037234200
0.45,06037234301
0.23,06037234302
0.22,06037234501
0.19,06037234502
0.2,06037234600
0.19,06037234700
0.16,06037234800
0.17,06037234901
0.13,06037234902
0.4,06037235100
0.17,06037235201
0.21,06037235202
0.67,06037236001
0.33,06037236101
0.23,06037236102
0.16,06037236203
0.18,06037236204
0.17,06037236205
0.26,06037236206
0.54,06037236400
0.09,06037237101
0.11,06037237102
0.07,06037237201
0.09,06037237202
0.14,06037237300
0.16,06037237401
0.12,06037237402
0.13,06037237500
0.07,06037237600
0.07,06037237710
0.08,06037237720
0.2,06037237800
0.33,06037237900
0.28,06037238000
0.17,06037238100
0.17,06037238200
0.04,06037238310
0.05,06037238320
0.25,06037238400
0.11,06037239201
0.02,06037239202
0.06,06037239310
0.09,06037239320
0.05,06037239330
0.04,06037239501
0.08,06037239502
0.06,06037239601
0.07,06037239602
0.02,06037239701
0.07,06037239702
0.12,06037239801
0.07,06037239802
0.04,06037240010
0.06,06037240020
0.07,06037240200
0.12,06037240301
0.09,06037240302
0.06,06037240401
0.13,06037240402
0.09,06037240500
0.09,06037240600
0.08,06037240700
0.11,06037240800
0.11,06037240901
0.05,06037240902
0.21,06037241001
0.12,06037241002
0.08,06037241110
0.07,06037241120
0.2,06037241201
0.13,06037241202
0.16,06037241300
0.13,06037241400
0.1,06037242000
0.08,06037242100
0.09,06037242201
0.05,06037242202
0.07,06037242300
0.06,06037242600
0.06,06037242700
0.06,06037243001
0.05,06037243002
0.05,06037243100
0.75,06037261102
0.7,06037261103
0.75,06037261104
0.71,06037261200
0.79,06037262100
0.73,06037262200
0.73,06037262301
0.77,06037262302
0.83,06037262303
0.88,06037262400
0.77,06037262501
0.77,06037262601
0.78,06037262604
0.78,06037262704
0.84,06037262706
0.83,06037262802
0.85,06037264000
0.86,06037264102
0.82,06037264103
0.91,06037264303
0.76,06037264304
0.79,06037264305
0.67,06037264306
0.71,06037265100
0.69,06037265201
0.63,06037265203
0.8,06037265204
0.7,06037265301
0.77,06037265303
0.58,06037265304
0.47,06037265306
0.9,06037265307
0.78,06037265410
0.82,06037265420
0.83,06037265521
0.7,06037265522
0.89,06037265523
0.78,06037265524
0.73,06037265601
0.73,06037265602
0.76,06037265701
0.71,06037265702
0.69,06037267101
0.8,06037267102
0.77,06037267201
0.76,06037267202
0.67,06037267300
0.63,06037267403
0.68,06037267404
0.75,06037267405
0.69,06037267406
0.62,06037267502
0.72,06037267503
0.65,06037267504
0.6,06037267600
0.74,06037267700
0.76,06037267800
0.67,06037267901
0.77,06037267902
0.68,06037269000
0.65,06037269100
0.83,06037269300
0.84,06037269500
0.22,06037269601
0.48,06037269602
0.54,06037269700
0.77,06037269800
0.72,06037269903
0.83,06037269905
0.74,06037269906
0.69,06037269907
0.71,06037269908
0.58,06037269909
0.74,06037270101
0.61,06037270102
0.43,06037270200
0.56,06037270300
0.62,06037271100
0.67,06037271200
0.64,06037271300
0.7,06037271400
0.71,06037271500
0.85,06037271600
0.77,06037271702
0.73,06037271703
0.8,06037271704
0.53,06037271801
0.61,06037271803
0.78,06037271804
0.57,06037271901
0.6,06037271902
0.6,06037272100
0.62,06037272201
0.57,06037272202
0.65,06037272301
0.45,06037272302
0.7,06037273100
0.67,06037273200
0.69,06037273300
0.62,06037273403
0.83,06037273404
0.74,06037273502
0.7,06037273600
0.78,06037273700
0.66,06037273800
0.76,06037273902
0.77,06037274100
0.66,06037274202
0.51,06037275101
0.41,06037275102
0.56,06037275200
0.56,06037275311
0.83,06037275312
0.57,06037275313
0.65,06037275400
0.33,06037275500
0.53,06037275603
0.86,06037275604
0.76,06037275605
0.71,06037276000
0.76,06037276101
0.47,06037276102
0.71,06037276400
0.64,06037276500
0.75,06037276601
0.62,06037276605
0.67,06037276606
0.54,06037276607
0.69,06037276608
0.68,06037277000
0.56,06037277100
0.47,06037277200
0.0,06037277400
0.58,06037278001
0.87,06037278102
0.15,06037291110
0.14,06037291120
0.25,06037291130
0.28,06037291210
0.29,06037291220
0.34,06037291300
0.18,06037292001
0.31,06037292002
0.31,06037293203
0.29,06037293204
0.3,06037293205
0.28,06037293206
0.52,06037293301
0.37,06037293302
0.27,06037293304
0.39,06037293306
0.2,06037293307
0.14,06037294110
0.03,06037294120
0.1,06037294200
0.09,06037294301
0.11,06037294302
0.26,06037294410
0.17,06037294421
0.08,06037294510
0.05,06037294520
0.12,06037294610
0.08,06037294620
0.08,06037294701
0.05,06037294810
0.05,06037294820
0.06,06037294830
0.1,06037294900
0.5,06037295103
0.09,06037296210
0.2,06037296220
0.45,06037296300
0.43,06037296401
0.29,06037296402
0.22,06037296500
0.18,06037296600
0.27,06037296901
0.15,06037296902
0.58,06037297001
0.47,06037297002
0.13,06037297110
0.24,06037297120
0.25,06037297201
0.28,06037297202
0.51,06037297300
0.6,06037297400
0.41,06037297501
0.33,06037297502
0.38,06037297601
0.32,06037297602
0.62,06037300100
0.52,06037300200
0.69,06037300301
0.63,06037300400
0.54,06037300501
0.56,06037300503
0.45,06037300601
0.61,06037300602
0.6,06037300701
0.63,06037300702
0.6,06037300800
0.66,06037300901
0.68,06037300902
0.48,06037301000
0.44,06037301100
0.49,06037301203
0.47,06037301204
0.47,06037301205
0.43,06037301206
0.74,06037301300
0.5,06037301400
0.4,06037301501
0.32,06037301502
0.25,06037301601
0.34,06037301602
0.34,06037301701
0.42,06037301702
0.5,06037301801
0.47,06037301802
0.52,06037301901
0.38,06037301902
0.46,06037302002
0.32,06037302003
0.34,06037302004
0.63,06037302102
0.38,06037302103
0.36,06037302104
0.41,06037302201
0.29,06037302202
0.43,06037302301
0.33,06037302302
0.37,06037302401
0.39,06037302503
0.23,06037302504
0.23,06037302505
0.42,06037302506
0.51,06037310100
0.47,06037310201
0.46,06037310202
0.59,06037310300
0.44,06037310400
0.36,06037310501
0.42,06037310601
0.57,06037310602
0.29,06037310701
0.38,06037310703
0.43,06037310704
0.53,06037310705
0.49,06037310800
0.34,06037310900
0.41,06037311000
0.42,06037311100
0.33,06037311200
0.5,06037311300
0.48,06037311400
0.56,06037311500
0.44,06037311601
0.59,06037311602
0.54,06037311700
0.44,06037311801
0.48,06037311802
0.23,06037320101
0.21,06037320102
0.09,06037320201
0.15,06037320202
0.15,06037320300
0.75,06037400205
0.66,06037400206
0.47,06037400207
0.5,06037400208
0.65,06037400209
0.45,06037400304
0.5,06037400402
0.38,06037400403
0.54,06037400404
0.45,06037400501
0.24,06037400602
0.35,06037400603
0.52,06037400605
0.46,06037400801
0.55,06037401001
0.36,06037401002
0.37,06037401101
0.35,06037401102
0.42,06037401201
0.26,06037401202
0.35,06037401203
0.48,06037401303
0.53,06037401304
0.29,06037401311
0.38,06037401312
0.36,06037401500
0.39,06037401601
0.33,06037401602
0.53,06037401705
0.34,06037401706
0.29,06037401707
0.72,06037401801
0.55,06037401802
0.73,06037401901
0.65,06037401902
0.34,06037402001
0.49,06037402002
0.18,06037402101
0.2,06037402102
0.25,06037402200
0.15,06037402301
0.11,06037402303
0.08,06037402304
0.1,06037402403
0.53,06037402404
0.12,06037402405
0.17,06037402406
0.11,06037402501
0.14,06037402503
0.09,06037402504
0.21,06037402601
0.28,06037402602
0.07,06037402702
0.18,06037402703
0.12,06037402705
0.12,06037402706
0.02,06037402801
0.08,06037402803
0.09,06037402804
0.11,06037402902
0.17,06037402903
0.1,06037402904
0.13,06037403000
0.59,06037403305
0.5,06037403316
0.49,06037403317
0.52,06037403318
0.53,06037403319
0.62,06037403320
0.46,06037403321
0.59,06037403323
0.62,06037403324
0.49,06037403325
0.45,06037403326
0.35,06037403327
0.44,06037403328
0.4,06037403401
0.51,06037403402
0.66,06037403403
0.6,06037403404
0.71,06037403407
0.51,06037403408
0.58,06037403409
0.44,06037403500
0.37,06037403601
0.35,06037403702
0.38,06037403703
0.25,06037403721
0.25,06037403722
0.37,06037403801
0.26,06037403802
