co2_metric_tons_per_household,GEOID
3.393,06037186401
3.443,06037186403
3.861,06037186404
3.6,06037187101
3.444,06037187102
3.777,06037187200
3.948,06037187300
3.214,06037188100
3.148,06037188201
3.491,06037188202
3.853,06037188300
3.109,06037189101
2.875,06037189102
2.438,06037189201
3.491,06037189202
3.856,06037189300
3.448,06037189400
2.6,06037189500
3.219,06037189600
2.54,06037189702
2.791,06037189800
2.739,06037189902
2.651,06037189903
2.469,06037189904
2.451,06037189905
2.571,06037190100
1.429,06037190201
2.159,06037190202
2.197,06037190301
2.167,06037190401
2.164,06037190402
2.692,06037190510
2.284,06037190520
1.964,06037190700
1.752,06037190801
2.289,06037190802
2.86,06037190901
2.495,06037190902
2.731,06037191000
2.147,06037191110
2.461,06037191120
1.921,06037191201
2.255,06037191203
2.78,06037191204
2.816,06037191301
2.548,06037191302
2.568,06037191410
2.989,06037191420
3.098,06037191500
2.993,06037191610
2.09,06037191620
2.262,06037191710
2.384,06037191720
3.135,06037191810
3.217,06037191820
3.013,06037191901
3.517,06037191902
2.798,06037192001
3.409,06037192002
3.107,06037192300
3.375,06037192410
3.455,06037192420
3.384,06037192510
3.299,06037192520
2.865,06037192610
2.901,06037192620
3.091,06037192700
3.917,06037194200
4.457,06037194300
3.347,06037194401
3.447,06037194402
3.169,06037194500
3.995,06037195100
3.185,06037195201
3.841,06037195202
3.52,06037195300
3.187,06037195400
3.428,06037195500
3.233,06037195600
3.494,06037195710
2.757,06037195720
3.26,06037195802
3.211,06037195803
3.086,06037195804
2.718,06037195901
3.097,06037195902
3.122,06037195903
3.749,06037197200
3.309,06037197300
3.95,06037197410
3.079,06037197420
3.416,06037197500
3.452,06037197600
3.031,06037197700
3.214,06037199000
3.51,06037199110
3.16,06037199120
2.658,06037199201
3.687,06037199202
3.453,06037199300
3.262,06037199400
3.163,06037199700
2.833,06037199800
2.902,06037199900
3.634,06037201110
3.257,06037201120
3.509,06037201200
3.447,06037201301
3.28,06037201302
3.529,06037201401
3.611,06037201402
3.481,06037201501
3.254,06037201503
3.715,06037201504
3.842,06037201601
3.834,06037201602
3.86,06037201700
3.017,06037203100
3.154,06037203200
2.512,06037203300
2.715,06037203500
3.184,06037203600
3.184,06037203710
2.785,06037203720
3.356,06037203800
3.669,06037203900
3.375,06037204110
3.555,06037204120
2.717,06037204200
2.758,06037204300
2.808,06037204410
2.257,06037204420
3.004,06037204600
3.554,06037204700
3.339,06037204810
3.371,06037204820
3.505,06037204910
3.627,06037204920
3.553,06037205110
2.71,06037205120
2.049,06037206010
3.48,06037206020
2.754,06037206032
1.859,06037206050
2.425,06037207101
1.534,06037207102
1.999,06037207103
1.57,06037207301
1.907,06037207302
2.529,06037207501
2.289,06037207710
2.958,06037207900
3.024,06037208000
3.105,06037208301
2.569,06037208302
2.323,06037208401
3.363,06037208402
3.075,06037208501
2.317,06037208502
3.028,06037208610
2.859,06037208620
3.059,06037208710
2.309,06037208720
1.92,06037208801
2.164,06037208802
2.155,06037208902
2.096,06037208903
1.623,06037208904
1.858,06037209102
2.547,06037209103
1.953,06037209104
2.53,06037209200
2.086,06037209300
1.689,06037209401
1.554,06037209402
2.196,06037209510
2.152,06037209520
2.361,06037209810
2.588,06037209820
2.11,06037210010
4.12,06037211000
2.746,06037211120
3.23,06037211121
3.072,06037211122
3.301,06037211201
2.665,06037211202
2.882,06037211310
2.071,06037211320
2.662,06037211410
2.93,06037211420
3.349,06037211500
3.631,06037211701
2.934,06037211703
2.226,06037211704
2.428,06037211802
3.132,06037211803
2.459,06037211804
2.588,06037211910
2.513,06037211921
2.851,06037211922
