co2_metric_tons_per_household,GEOID
4.144,06037541801
4.225,06037541802
3.818,06037542000
4.094,06037542103
4.43,06037542104
4.118,06037542105
3.573,06037542106
3.93,06037542200
3.747,06037542401
3.882,06037542402
3.792,06037542501
2.972,06037542502
3.703,06037542601
3.628,06037542602
3.941,06037542700
3.688,06037542800
3.933,06037542900
3.808,06037543000
3.749,06037543100
4.055,06037543201
3.896,06037543202
4.022,06037543304
4.21,06037543306
4.094,06037543322
4.304,06037543400
3.99,06037543501
3.464,06037543502
3.908,06037543503
4.332,06037543601
3.903,06037543602
3.489,06037543603
4.618,06037543604
4.32,06037543701
4.396,06037543702
4.207,06037543703
4.076,06037543801
3.874,06037543802
3.728,06037543903
4.359,06037543905
4.324,06037544001
4.526,06037544002
3.61,06037550000
4.591,06037550100
4.156,06037550201
4.103,06037550202
4.177,06037550300
4.445,06037550400
4.371,06037550500
4.184,06037550601
4.438,06037550602
4.38,06037550700
4.272,06037550800
3.64,06037550901
3.98,06037550902
4.141,06037551000
3.654,06037551101
3.807,06037551102
3.739,06037551201
4.099,06037551202
3.552,06037551300
4.381,06037551401
4.237,06037551402
4.241,06037551501
3.948,06037551502
4.083,06037551700
3.91,06037551800
4.241,06037551900
4.385,06037552001
4.123,06037552002
3.074,06037552100
3.513,06037552200
4.201,06037552301
3.418,06037552302
4.49,06037552400
4.596,06037552601
3.839,06037552602
4.473,06037552700
4.14,06037552800
3.929,06037552900
4.397,06037553000
4.223,06037553100
4.155,06037553200
4.139,06037553300
4.124,06037553400
3.75,06037553502
4.077,06037553503
4.106,06037553504
3.913,06037553601
3.981,06037553602
4.423,06037553701
4.071,06037553702
4.239,06037553801
3.188,06037553802
4.278,06037553901
3.865,06037553902
3.819,06037554001
3.696,06037554002
3.554,06037554101
4.125,06037554103
3.77,06037554104
3.122,06037554105
4.52,06037554201
3.599,06037554203
2.672,06037554204
4.179,06037554301
3.699,06037554302
3.536,06037554403
3.673,06037554404
3.278,06037554405
3.695,06037554406
4.48,06037554511
4.277,06037554512
4.257,06037554513
3.959,06037554514
4.193,06037554515
4.65,06037554516
4.331,06037554517
4.438,06037554518
3.843,06037554519
3.906,06037554521
4.239,06037554522
3.936,06037554600
4.415,06037554700
4.237,06037554801
3.904,06037554802
3.834,06037554900
4.191,06037555001
4.041,06037555002
3.76,06037555102
4.246,06037555103
4.002,06037555104
4.517,06037555202
3.617,06037555211
4.207,06037555212
3.887,06037570001
4.134,06037570002
4.075,06037570003
4.268,06037570100
3.975,06037570202
3.459,06037570203
3.475,06037570204
3.525,06037570301
3.651,06037570303
3.581,06037570304
4.036,06037570402
3.882,06037570403
4.212,06037570404
4.122,06037570501
4.077,06037570502
3.688,06037570601
3.967,06037570602
3.048,06037570603
3.661,06037570701
4.042,06037570702
4.285,06037570800
4.302,06037570901
4.232,06037570902
4.309,06037571000
4.431,06037571101
4.112,06037571102
3.877,06037571200
4.108,06037571300
3.597,06037571400
3.449,06037571502
4.099,06037571503
3.574,06037571504
1.364,06037571600
3.679,06037571701
3.196,06037571703
3.36,06037571704
3.836,06037571900
4.027,06037572001
3.394,06037572002
4.366,06037572100
3.466,06037572201
4.179,06037572202
4.036,06037572301
4.074,06037572302
4.203,06037572400
2.437,06037572500
4.54,06037572600
3.729,06037572700
3.69,06037572900
3.265,06037573002
3.576,06037573003
2.668,06037573004
3.649,06037573100
3.173,06037573201
3.657,06037573202
3.112,06037573300
3.541,06037573401
3.828,06037573402
4.319,06037573403
3.915,06037573601
4.106,06037573700
4.35,06037573800
3.987,06037573902
4.396,06037574000
4.095,06037574100
4.187,06037574201
3.814,06037574202
3.836,06037574300
4.096,06037574400
4.194,06037574500
3.279,06037574602
3.156,06037574800
4.172,06037574901
3.405,06037574902
3.475,06037575001
3.668,06037575002
3.308,06037575101
2.959,06037575102
3.234,06037575103
3.158,06037575201
3.46,06037575202
2.896,06037575300
3.082,06037575401
3.252,06037575402
2.715,06037575801
2.763,06037575802
1.714,06037575803
2.738,06037575901
2.044,06037575902
3.06,06037576001
2.034,06037576200
2.805,06037576301
3.499,06037576302
2.807,06037576401
3.004,06037576402
3.065,06037576403
2.289,06037576501
2.58,06037576502
2.908,06037576503
3.083,06037576601
2.889,06037576801
3.205,06037576802
2.741,06037576901
3.267,06037576903
3.492,06037576904
3.629,06037577000
3.553,06037577100
3.477,06037577400
3.352,06037577501
3.22,06037577602
3.626,06037577603
3.615,06037577604
2.296,06037599000
2.712,06037600100
3.02,06037600201
2.763,06037600202
3.136,06037600302
2.616,06037600303
2.776,06037600304
3.002,06037600400
3.218,06037600501
3.546,06037600502
3.491,06037600601
2.84,06037600602
4.015,06037600702
3.226,06037600703
3.319,06037600704
3.628,06037600801
3.05,06037600902
3.466,06037600911
4.048,06037600912
2.095,06037601001
3.15,06037601002
2.915,06037601100
3.952,06037601202
3.108,06037601211
3.238,06037601212
3.377,06037601301
3.333,06037601302
2.768,06037601303
3.363,06037601401
4.007,06037601402
3.535,06037601501
3.859,06037601502
3.679,06037601600
3.866,06037601700
4.113,06037601801
3.916,06037601802
3.745,06037601900
3.798,06037602002
3.773,06037602003
3.808,06037602004
3.354,06037602103
3.572,06037602104
3.633,06037602105
3.228,06037602106
4.025,06037602200
4.152,06037602301
3.999,06037602302
3.665,06037602402
3.73,06037602403
3.503,06037602404
3.23,06037602504
2.699,06037602505
2.812,06037602506
3.046,06037602507
3.455,06037602508
4.001,06037602509
3.422,06037602600
3.617,06037602700
2.993,06037602801
3.479,06037602802
3.526,06037602900
3.479,06037603001
2.971,06037603004
3.34,06037603005
3.301,06037603006
3.275,06037603101
3.317,06037603102
3.751,06037603200
3.281,06037603301
3.414,06037603302
3.553,06037603400
4.103,06037603500
3.903,06037603600
4.198,06037603702
4.252,06037603703
3.195,06037603704
3.727,06037603801
4.051,06037603802
3.898,06037603900
4.17,06037604001
3.74,06037604002
4.476,06037604100
3.347,06037609900
3.896,06037620001
3.669,06037620002
4.176,06037620101
3.881,06037620102
4.373,06037620301
4.46,06037620303
3.91,06037620305
4.042,06037620400
4.52,06037620501
3.865,06037620521
3.819,06037620522
3.665,06037620601
4.362,06037620602
3.761,06037620701
4.379,06037620702
4.434,06037620800
4.398,06037620901
4.272,06037620904
3.864,06037621001
3.56,06037621004
4.202,06037621102
3.795,06037621104
4.129,06037621201
3.101,06037621204
3.967,06037621301
3.611,06037621400
3.707,06037650001
3.699,06037650003
3.646,06037650004
4.074,06037650101
4.326,06037650102
4.281,06037650200
3.66,06037650300
4.284,06037650401
4.223,06037650501
4.095,06037650502
3.186,06037650602
3.699,06037650603
2.962,06037650604
3.324,06037650605
4.299,06037650702
3.58,06037650800
3.584,06037650901
3.89,06037650902
4.2,06037651001
4.074,06037651002
3.295,06037651102
4.403,06037651201
3.107,06037651221
4.178,06037651222
4.161,06037651302
3.288,06037651401
3.95,06037651402
3.588,06037670001
3.83,06037670002
3.71,06037670003
3.494,06037670100
4.398,06037670328
3.921,06037670403
3.476,06037670405
4.003,06037670406
3.917,06037670407
3.966,06037670411
4.036,06037670413
4.003,06037670701
2.447,06037700101
2.224,06037700102
2.861,06037700200
3.016,06037700300
3.131,06037700400
3.275,06037700501
2.388,06037700502
3.032,06037700801
3.007,06037700802
3.698,06037700901
3.247,06037700902
3.352,06037701000
4.09,06037701201
3.329,06037701202
3.215,06037701302
3.347,06037701304
2.441,06037701402
3.056,06037701501
3.006,06037701502
3.879,06037701601
3.404,06037701602
3.035,06037701701
2.863,06037701702
2.877,06037701801
2.97,06037701802
2.175,06037701902
2.615,06037702002
2.877,06037702102
3.318,06037702201
3.53,06037702202
3.414,06037702300
3.573,06037702400
3.859,06037702501
3.068,06037702502
3.797,06037702600
4.293,06037702700
3.489,06037702801
3.558,06037702802
3.528,06037702803
3.394,06037702901
3.375,06037703001
3.662,06037703002
3.267,06037703100
3.75,06037703200
4.654,06037800324
3.557,06037800325
4.496,06037800332
3.597,06037900103
3.451,06037900501
3.368,06037900505
3.474,06037900506
3.54,06037900507
3.43,06037900605
2.596,06037900606
2.926,06037900607
3.479,06037900608
3.731,06037900609
2.819,06037900701
2.434,06037900703
3.631,06037900803
3.049,06037900804
3.736,06037900805
1.73,06037900806
3.569,06037901009
3.606,06037901010
3.428,06037901011
4.474,06037910207
4.277,06037910208
4.512,06037910209
4.353,06037910210
4.258,06037910302
2.972,06037910402
3.082,06037910403
4.159,06037910404
1.918,06037910501
3.302,06037910502
3.967,06037910504
4.177,06037910505
3.666,06037910601
2.654,06037910602
3.699,06037910603
4.32,06037910605
3.904,06037910606
4.349,06037910705
3.811,06037910711
4.212,06037910712
4.283,06037910713
4.375,06037910714
3.766,06037910715
4.191,06037910716
4.714,06037920016
4.642,06037920017
4.278,06037920018
4.22,06037920023
4.625,06037920028
3.906,06037920029
4.393,06037920030
4.276,06037920035
4.33,06037920036
3.728,06037920037
3.681,06037920038
4.789,06037920039
4.299,06037920041
4.03,06037920042
4.446,06037920044
4.801,06037920045
4.385,06037920108
4.131,06037920109
4.696,06037920110
4.635,06037920111
3.974,06037920112
4.394,06037920114
4.733,06037920118
4.071,06037920313
3.853,06037920322
4.063,06037920329
3.639,06037920330
3.819,06037920331
3.25,06037920334
3.899,06037920336
4.259,06037920337
4.669,06037920338
4.746,06037101122
4.181,06037101400
4.482,06037102107
3.966,06037103200
4.388,06037103300
4.787,06037104124
5.079,06037106510
5.604,06037106643
5.321,06037108103
4.71,06037108202
4.321,06037109100
5.008,06037113102
4.436,06037113211
4.525,06037113231
4.414,06037113237
4.182,06037113301
4.789,06037113303
4.279,06037121102
5.145,06037134424
4.435,06037137104
5.353,06037137504
4.764,06037138000
4.596,06037139402
5.231,06037139702
5.058,06037139703
5.055,06037139801
5.182,06037139802
5.599,06037141500
5.202,06037141600
5.536,06037141700
4.522,06037143700
5.148,06037143901
4.7,06037143902
4.274,06037189701
4.181,06037194101
4.834,06037194102
3.979,06037206031
2.568,06037226002
3.931,06037236000
5.569,06037261101
4.998,06037261102
5.056,06037261200
5.001,06037262100
5.43,06037262200
5.033,06037262302
5.322,06037262303
5.446,06037262601
5.047,06037262604
5.531,06037262802
2.822,06037265100
4.161,06037291300
5.165,06037300301
5.146,06037300701
4.576,06037300702
5.299,06037300901
5.217,06037300902
5.589,06037310100
5.042,06037400204
5.23,06037400207
4.784,06037400402
4.845,06037400603
4.664,06037400604
5.209,06037401303
4.848,06037401304
4.514,06037402402
5.333,06037403303
4.856,06037403312
4.674,06037403317
5.16,06037403321
5.073,06037403324
5.347,06037403404
5.444,06037403405
5.311,06037403407
4.023,06037403500
4.615,06037404600
4.98,06037406300
4.704,06037408006
5.144,06037408202
4.332,06037408211
4.651,06037408402
4.77,06037408627
5.175,06037408703
3.872,06037430200
5.07,06037430501
5.251,06037430600
4.457,06037430721
4.588,06037433802
4.83,06037460000
4.905,06037460100
4.504,06037460301
5.107,06037460401
5.476,06037460501
5.644,06037460600
5.757,06037460700
5.37,06037460800
4.335,06037461700
4.638,06037463000
5.103,06037464100
4.312,06037482001
5.012,06037500100
5.118,06037500201
5.2,06037500202
5.201,06037500300
4.73,06037501501
4.698,06037501600
4.338,06037502500
4.519,06037502700
3.059,06037502802
4.685,06037502902
4.723,06037503602
5.166,06037503902
4.416,06037530003
4.277,06037532303
3.46,06037532304
4.261,06037536102
4.024,06037541001
3.861,06037541002
4.55,06037543305
4.874,06037543321
4.371,06037571800
2.638,06037572800
3.367,06037600802
4.332,06037650701
4.516,06037651101
4.781,06037670201
5.286,06037670202
5.637,06037670324
5.042,06037670326
4.304,06037670416
5.481,06037670500
4.532,06037670602
5.197,06037670702
5.245,06037700600
3.485,06037701100
5.245,06037800101
5.269,06037800203
4.844,06037800204
4.605,06037800327
5.591,06037800331
4.493,06037800408
4.552,06037900504
4.597,06037900508
3.976,06037900602
3.372,06037900704
3.492,06037900705
4.969,06037901004
4.834,06037901007
4.334,06037901008
4.396,06037901101
4.403,06037901102
3.468,06037910201
4.811,06037910202
4.616,06037910301
4.237,06037910401
4.075,06037910707
5.33,06037910807
5.163,06037910809
4.798,06037920013
5.573,06037920015
3.433,06037920031
5.264,06037920040
6.091,06037920107
4.959,06037920115
5.48,06037920116
6.059,06037920119
5.506,06037920314
4.792,06037920328
4.695,06037920332
3.219,06037980015
6.006,06037980024
5.719,06037106603
5.453,06037262301
3.915,06037274202
3.907,06037297601
5.706,06037400205
5.217,06037400403
5.884,06037400404
5.582,06037400501
5.925,06037403325
5.518,06037430003
5.611,06037430301
3.339,06037576602
3.655,06037576700
3.713,06037577200
3.847,06037577300
4.123,06037577504
4.156,06037620201
4.337,06037621002
4.524,06037621324
4.099,06037621326
4.256,06037651304
5.159,06037800102
5.812,06037800202
5.114,06037800326
5.133,06037800328
4.926,06037800329
5.682,06037800330
5.055,06037800406
4.973,06037800410
4.241,06037800504
4.974,06037800506
3.378,06037900102
4.681,06037900104
4.253,06037900201
5.049,06037900300
4.446,06037900900
5.059,06037901205
4.604,06037901209
4.651,06037901210
5.556,06037901213
4.96,06037910001
4.84,06037910002
4.569,06037910101
5.107,06037910205
5.857,06037910206
5.322,06037910706
5.268,06037910709
5.34,06037910804
5.286,06037910805
5.42,06037910808
6.042,06037910810
5.94,06037910811
4.794,06037910812
5.394,06037910813
4.299,06037911001
3.825,06037920011
4.617,06037920012
5.392,06037920020
4.489,06037920026
5.153,06037920033
5.242,06037920034
6.179,06037920043
4.918,06037920102
6.043,06037920104
5.641,06037920106
5.624,06037920303
4.492,06037920312
5.059,06037920326
6.032,06037920339
4.775,06037930101
4.992,06037930200
4.352,06037930301
5.137,06037980019
