B19013_001E,geoid
101563,06037183104
126000,06037183220
112574,06037183221
97361,06037183222
91638,06037183300
105701,06037183401
105000,06037183402
109250,06037183510
67048,06037183520
79955,06037183610
108256,06037183620
77865,06037183701
103026,06037183702
89137,06037183810
79543,06037183820
82521,06037185101
135506,06037185102
117667,06037185202
84485,06037185203
123500,06037185204
78438,06037185310
59309,06037185320
102429,06037186100
82055,06037186201
97083,06037186202
147833,06037186203
71518,06037186301
89880,06037186302
61250,06037186401
95875,06037186403
85417,06037186404
91417,06037187101
72760,06037187102
93521,06037187200
115000,06037187300
81283,06037188100
94063,06037188201
192140,06037188202
124728,06037188300
104003,06037189101
116402,06037189102
72625,06037189201
161354,06037189202
182614,06037189300
138444,06037189400
86563,06037189501
55202,06037189502
96755,06037189600
84286,06037189702
100903,06037189703
164233,06037189704
77386,06037189801
120694,06037189802
94250,06037189903
70094,06037189904
80000,06037189905
97104,06037189906
93470,06037189907
42458,06037190101
79491,06037190102
47477,06037190201
46848,06037190202
66894,06037190302
-666666666,06037190303
59192,06037190401
64679,06037190402
52989,06037190510
55026,06037190520
52321,06037190701
71221,06037190702
44207,06037190801
76806,06037190802
43667,06037190901
71354,06037190902
66101,06037191000
58482,06037191110
50733,06037191120
43651,06037191201
46500,06037191203
70525,06037191204
80086,06037191301
65598,06037191302
53699,06037191410
72574,06037191420
66961,06037191500
52354,06037191610
59896,06037191620
29387,06037191710
48750,06037191720
67321,06037191810
73884,06037191820
67442,06037191901
87750,06037191902
108650,06037192001
122143,06037192002
78979,06037192300
126250,06037192410
68057,06037192420
64643,06037192510
62591,06037192520
48558,06037192610
52614,06037192620
58202,06037192700
97384,06037194101
177697,06037194102
178532,06037194200
228462,06037194300
102634,06037194401
114366,06037194402
108125,06037194500
162066,06037195100
118455,06037195201
166016,06037195202
95385,06037195300
120000,06037195400
120909,06037195500
80417,06037195600
63704,06037195710
76696,06037195720
89890,06037195802
89962,06037195803
98472,06037195804
90417,06037195901
133542,06037195902
90603,06037195903
98053,06037197200
105690,06037197300
97480,06037197410
101071,06037197420
83167,06037197500
90192,06037197600
61507,06037197700
51917,06037199001
70519,06037199002
73500,06037199110
41850,06037199120
64167,06037199201
98083,06037199202
102408,06037199300
55573,06037199400
52577,06037199700
68661,06037199801
59219,06037199802
41563,06037199900
97664,06037201110
89944,06037201120
93309,06037201200
94926,06037201301
118831,06037201302
55313,06037201401
78750,06037201402
90074,06037201501
70778,06037201503
104750,06037201504
68594,06037201601
90114,06037201602
78088,06037201700
58995,06037203100
58199,06037203200
42066,06037203300
54250,06037203500
38798,06037203601
74536,06037203602
78333,06037203710
70833,06037203720
64792,06037203800
78750,06037203900
67813,06037204110
86850,06037204120
46646,06037204200
55119,06037204300
-666666666,06037204410
56481,06037204420
52750,06037204600
75156,06037204700
56756,06037204810
64336,06037204820
49407,06037204910
70500,06037204920
52262,06037205110
28516,06037205120
60703,06037206010
148661,06037206020
48491,06037206050
156250,06037206051
107208,06037206052
43795,06037206053
43125,06037206054
53431,06037206201
22668,06037206202
13831,06037206301
7000,06037206302
11542,06037206303
71776,06037207101
60227,06037207102
41944,06037207103
33158,06037207303
13735,06037207304
64196,06037207305
48897,06037207306
-666666666,06037207307
96098,06037207308
85455,06037207400
125833,06037207501
20202,06037207502
141364,06037207711
87687,06037207712
71726,06037207901
106304,06037207902
90564,06037208001
68105,06037208002
42548,06037208301
60660,06037208302
41620,06037208401
78594,06037208402
85313,06037208501
49543,06037208502
75761,06037208610
61947,06037208620
63914,06037208710
34791,06037208720
40588,06037208801
34750,06037208802
37759,06037208902
48308,06037208903
26640,06037208904
32550,06037209103
39000,06037209104
34092,06037209105
36411,06037209106
73599,06037209201
38443,06037209202
35446,06037209300
32361,06037209401
47783,06037209402
31806,06037209403
42639,06037209510
43266,06037209520
40574,06037209810
54722,06037209820
25293,06037210010
184034,06037211000
70167,06037211121
48830,06037211122
80568,06037211123
65000,06037211124
62237,06037211201
51627,06037211202
46966,06037211310
50000,06037211320
48952,06037211410
58835,06037211420
89688,06037211500
91196,06037211701
59840,06037211703
54931,06037211704
50995,06037211802
52370,06037211803
49242,06037211804
51895,06037211910
42071,06037211921
51803,06037211922
53208,06037212101
36830,06037212102
56719,06037212202
37869,06037212203
44083,06037212204
36758,06037212303
47500,06037212304
49400,06037212305
53158,06037212306
51265,06037212410
55106,06037212420
55625,06037212501
63500,06037212502
70495,06037212610
43862,06037212620
78370,06037212701
97619,06037212702
83125,06037212800
65577,06037212900
57783,06037213100
41987,06037213201
65956,06037213202
64405,06037213310
37120,06037213320
51875,06037213401
50139,06037213402
134167,06037214000
157188,06037214100
100792,06037214400
111875,06037214501
92431,06037214503
104435,06037214504
85147,06037214505
118477,06037214600
120462,06037214700
94229,06037214800
117614,06037214902
62583,06037214903
121439,06037214904
87731,06037215101
102191,06037215102
157917,06037216100
112798,06037216201
81875,06037216202
97282,06037216301
96477,06037216302
93229,06037216401
99213,06037216402
111645,06037216700
128059,06037216800
106579,06037216901
82986,06037216902
126250,06037217001
104095,06037217002
126250,06037217101
106587,06037217102
79338,06037217200
48264,06037218110
46586,06037218120
58326,06037218210
71964,06037218220
64234,06037218300
98281,06037218400
76481,06037218500
77554,06037218600
57705,06037218701
61856,06037218702
52667,06037218800
62128,06037218900
91518,06037219010
64180,06037219020
62188,06037219300
105625,06037219500
72685,06037219700
69536,06037219800
68544,06037219901
104890,06037219902
53500,06037220000
66821,06037220100
46234,06037221110
47368,06037221120
68388,06037221210
52431,06037221220
37285,06037221302
52560,06037221303
54620,06037221304
54196,06037221401
52313,06037221402
41908,06037221500
58125,06037221601
51821,06037221602
49848,06037221710
31815,06037221810
26236,06037221820
26421,06037221900
72269,06037222001
70127,06037222002
63458,06037222100
59907,06037222200
72316,06037222500
52054,06037222600
51250,06037222700
37647,06037224010
30647,06037224020
54032,06037224200
62632,06037224310
35375,06037224320
33214,06037224410
25725,06037224420
51765,06037224600
38098,06037224701
11270,06037224702
34318,06037226001
51917,06037226002
41563,06037226410
45840,06037226420
51667,06037226701
66732,06037226702
50410,06037227010
70575,06037227020
49291,06037228100
47500,06037228210
47269,06037228220
43676,06037228310
54375,06037228320
49153,06037228410
78750,06037228420
43194,06037228500
52083,06037228600
69333,06037228710
58680,06037228720
56282,06037228800
36923,06037228900
58906,06037229100
48140,06037229200
57013,06037229300
62907,06037229410
61528,06037229420
46806,06037231100
45560,06037231210
35319,06037231220
54464,06037231301
59003,06037231302
54872,06037231400
90375,06037231500
78777,06037231601
75588,06037231602
64423,06037231603
43750,06037231710
47589,06037231720
56623,06037231800
88702,06037231901
34279,06037231902
56989,06037232110
57226,06037232120
72742,06037232200
80644,06037232300
65125,06037232401
53821,06037232402
71045,06037232500
60962,06037232601
71799,06037232602
78438,06037232701
70263,06037232702
55625,06037232800
84271,06037234001
70299,06037234002
84194,06037234200
37255,06037234301
46773,06037234302
76250,06037234501
28578,06037234502
67882,06037234600
90893,06037234700
71397,06037234800
46939,06037234901
28415,06037234902
95958,06037235100
63662,06037235201
32475,06037235202
126029,06037236001
38606,06037236101
60057,06037236102
33526,06037236203
48145,06037236204
32115,06037236205
64259,06037236206
106107,06037236400
57708,06037237101
49063,06037237102
60714,06037237201
50904,06037237202
91250,06037237300
70357,06037237401
81806,06037237402
41087,06037237500
49799,06037237600
46909,06037237710
52143,06037237720
57188,06037237800
61811,06037237900
60625,06037238000
66230,06037238100
49351,06037238200
57163,06037238310
27895,06037238320
74250,06037238400
46327,06037239201
52434,06037239202
52606,06037239310
53542,06037239320
64615,06037239330
62174,06037239501
60350,06037239502
60139,06037239601
52679,06037239602
36131,06037239701
70034,06037239702
67724,06037239801
55924,06037239802
37292,06037240010
58030,06037240020
52428,06037240200
60703,06037240301
47578,06037240302
39280,06037240401
72813,06037240402
60982,06037240500
62796,06037240600
59107,06037240700
65852,06037240800
47837,06037240901
44107,06037240902
90517,06037241001
60938,06037241002
72717,06037241110
43173,06037241120
60122,06037241201
49036,06037241202
55208,06037241300
73583,06037241400
51840,06037242000
29935,06037242100
62745,06037242201
44355,06037242202
53062,06037242300
19955,06037242600
51170,06037242700
72583,06037243001
78029,06037243002
31765,06037243100
250001,06037261102
230602,06037261103
186765,06037261104
194917,06037261200
238250,06037262100
192588,06037262200
250001,06037262301
191316,06037262302
244450,06037262303
250001,06037262400
250001,06037262501
250001,06037262601
159079,06037262604
159219,06037262704
163643,06037262706
159353,06037262802
205227,06037264000
167188,06037264102
151563,06037264103
152944,06037264303
125320,06037264304
130656,06037264305
127781,06037264306
116016,06037265100
148517,06037265201
146146,06037265203
117829,06037265204
-666666666,06037265301
33798,06037265303
18366,06037265304
31757,06037265306
27152,06037265307
212625,06037265410
250001,06037265420
83866,06037265521
99141,06037265522
74226,06037265523
118005,06037265524
101389,06037265601
98272,06037265602
152250,06037265701
100547,06037265702
125703,06037267101
136677,06037267102
109722,06037267201
117933,06037267202
139609,06037267300
93094,06037267403
78606,06037267404
104344,06037267405
91008,06037267406
89408,06037267502
136038,06037267503
99485,06037267504
82500,06037267600
127722,06037267700
117738,06037267800
135533,06037267901
146534,06037267902
177750,06037269000
95484,06037269100
230893,06037269300
250001,06037269500
53185,06037269601
91212,06037269602
122237,06037269700
112708,06037269800
92861,06037269903
109186,06037269905
123720,06037269906
98229,06037269907
83562,06037269908
102508,06037269909
106429,06037270101
112131,06037270102
80563,06037270200
68709,06037270300
106618,06037271100
119836,06037271200
104231,06037271300
172500,06037271400
101897,06037271500
115456,06037271600
84515,06037271702
130559,06037271703
153750,06037271704
74506,06037271801
97629,06037271803
97434,06037271804
119561,06037271901
102510,06037271902
128125,06037272100
95446,06037272201
100189,06037272202
125618,06037272301
76498,06037272302
171005,06037273100
134067,06037273200
91875,06037273300
111364,06037273403
84449,06037273404
107162,06037273502
121875,06037273600
135766,06037273700
97155,06037273800
155281,06037273902
104643,06037274100
119728,06037274202
134519,06037275101
100286,06037275102
103846,06037275200
94403,06037275311
177963,06037275312
118257,06037275313
141780,06037275400
60750,06037275500
127727,06037275603
180246,06037275604
116024,06037275605
157366,06037276000
111085,06037276101
86250,06037276102
233009,06037276400
156853,06037276500
168011,06037276601
110714,06037276605
123341,06037276606
94491,06037276607
96685,06037276608
173750,06037277000
161875,06037277100
60719,06037277200
-666666666,06037277400
96429,06037278001
172153,06037278102
46536,06037291110
73167,06037291120
85938,06037291130
65156,06037291210
75324,06037291220
100682,06037291300
51747,06037292001
114239,06037292002
81067,06037293203
108385,06037293204
58101,06037293205
74231,06037293206
103375,06037293301
107107,06037293302
63518,06037293304
116979,06037293306
64183,06037293307
86194,06037294110
75096,06037294120
76936,06037294200
99549,06037294301
86667,06037294302
69000,06037294410
64722,06037294421
63688,06037294510
56524,06037294520
77837,06037294610
78333,06037294620
37844,06037294701
52315,06037294810
33526,06037294820
64063,06037294830
38676,06037294900
120089,06037295103
62600,06037296210
42389,06037296220
82349,06037296300
114514,06037296401
137083,06037296402
69792,06037296500
47852,06037296600
62668,06037296901
63563,06037296902
178333,06037297001
107260,06037297002
51659,06037297110
74583,06037297120
67303,06037297201
87378,06037297202
108261,06037297300
126192,06037297400
160179,06037297501
98125,06037297502
94432,06037297601
89375,06037297602
166716,06037300100
140417,06037300200
130262,06037300301
130799,06037300400
106333,06037300501
