B25018_001E,geoid
3.8,06037139506
4.5,06037139600
6.2,06037139701
8.0,06037139703
7.3,06037139704
7.9,06037139705
7.5,06037139801
8.1,06037139802
4.0,06037141101
4.1,06037141102
3.9,06037141201
4.3,06037141202
3.8,06037141303
4.4,06037141304
3.8,06037141305
4.0,06037141306
5.7,06037141400
8.3,06037141500
6.5,06037141600
6.3,06037141700
5.1,06037143101
3.6,06037143102
3.7,06037143200
3.6,06037143301
4.8,06037143302
4.3,06037143401
4.4,06037143402
4.8,06037143500
4.3,06037143602
3.5,06037143603
3.0,06037143605
3.3,06037143606
5.1,06037143700
5.2,06037143801
5.7,06037143802
7.0,06037143901
5.0,06037143902
5.3,06037181000
5.3,06037181300
3.8,06037181400
5.4,06037181500
4.2,06037181600
4.6,06037183101
4.0,06037183103
4.8,06037183104
3.9,06037183220
4.4,06037183221
4.0,06037183222
4.1,06037183300
4.5,06037183401
4.4,06037183402
4.9,06037183510
3.8,06037183520
4.4,06037183610
4.3,06037183620
3.6,06037183701
4.4,06037183702
3.3,06037183810
3.2,06037183820
3.9,06037185101
5.0,06037185102
4.7,06037185202
4.3,06037185203
5.5,06037185204
4.0,06037185310
3.3,06037185320
4.6,06037186100
3.7,06037186201
4.0,06037186202
5.3,06037186203
4.0,06037186301
5.2,06037186302
3.4,06037186401
4.4,06037186403
3.9,06037186404
4.5,06037187101
3.8,06037187102
4.1,06037187200
4.7,06037187300
3.9,06037188100
3.1,06037188201
5.3,06037188202
4.4,06037188300
3.5,06037189101
3.3,06037189102
2.7,06037189201
5.1,06037189202
6.5,06037189300
5.0,06037189400
3.8,06037189501
2.4,06037189502
3.5,06037189600
3.7,06037189702
3.8,06037189703
3.9,06037189704
3.5,06037189801
4.0,06037189802
2.8,06037189903
2.6,06037189904
2.7,06037189905
3.2,06037189906
3.1,06037189907
2.8,06037190101
2.9,06037190102
2.4,06037190201
2.7,06037190202
2.6,06037190302
2.0,06037190303
2.6,06037190401
2.9,06037190402
2.4,06037190510
2.8,06037190520
2.8,06037190701
3.3,06037190702
2.1,06037190801
2.9,06037190802
2.5,06037190901
3.2,06037190902
2.4,06037191000
2.8,06037191110
2.5,06037191120
2.7,06037191201
2.6,06037191203
2.4,06037191204
2.6,06037191301
2.6,06037191302
2.6,06037191410
3.1,06037191420
2.9,06037191500
2.9,06037191610
2.1,06037191620
2.5,06037191710
2.8,06037191720
3.5,06037191810
3.5,06037191820
3.0,06037191901
4.4,06037191902
3.7,06037192001
5.0,06037192002
3.4,06037192300
4.6,06037192410
3.4,06037192420
3.4,06037192510
3.5,06037192520
3.0,06037192610
2.9,06037192620
3.5,06037192700
3.8,06037194101
6.3,06037194102
5.7,06037194200
6.5,06037194300
3.7,06037194401
3.8,06037194402
4.8,06037194500
5.6,06037195100
3.6,06037195201
5.3,06037195202
3.6,06037195300
4.3,06037195400
4.2,06037195500
3.6,06037195600
3.6,06037195710
3.2,06037195720
3.6,06037195802
3.7,06037195803
3.4,06037195804
3.2,06037195901
4.0,06037195902
3.6,06037195903
4.2,06037197200
3.6,06037197300
4.3,06037197410
4.2,06037197420
3.3,06037197500
4.1,06037197600
3.8,06037197700
4.0,06037199001
